endTime,artistName,trackName,msPlayed
2021-06-03 11:46,Khalid,Better,151634
2021-06-20 11:52,AP Dhillon,Insane,8434
2021-06-20 11:52,Tedi Pagg,Tu Hi Das De,172831
2021-06-20 11:57,AP Dhillon,Insane,206060
2021-06-20 12:01,Hozier,Take Me To Church,241688
2021-06-20 12:04,Khalid,8TEEN,200513
2021-06-20 12:08,The Lumineers,Cleopatra,201413
2021-06-20 12:09,Ali Gatie,Can't Let You Go,23
2021-06-20 12:09,The Lumineers,Sleep On The Floor,8972
2021-06-20 12:12,Ali Gatie,Can't Let You Go,0
2021-06-20 12:12,The Lumineers,Sleep On The Floor,194673
2021-06-20 12:13,Ro Ransom,See Me Fall (feat. Kensei Abbot),46080
2021-06-20 12:16,Dean Lewis,Waves,15665
2021-06-20 12:16,Dean Lewis,Be Alright,202164
2021-06-21 05:07,Lil Baby,Voice of the Heroes,18274
2021-06-21 05:13,The Weeknd,After Hours,361026
2021-06-21 05:16,The Weeknd,Until I Bleed Out,190173
2021-06-21 05:18,Khalid,8TEEN,62401
2021-06-21 12:31,Tedi Pagg,Tu Hi Das De,16523
2021-06-21 12:34,Tedi Pagg,Tu Hi Das De,156345
2021-06-21 12:37,AP Dhillon,Insane,206060
2021-06-21 12:42,Hozier,Take Me To Church,241688
2021-06-21 12:46,Khalid,8TEEN,228600
2021-06-21 12:47,The Lumineers,Cleopatra,37862
2021-06-26 18:51,The Lumineers,Cleopatra,0
2021-06-28 10:17,KSI,Holiday,193733
2021-06-28 10:20,KSI,Patience (feat. YUNGBLUD & Polo G),181720
2021-07-01 15:24,Pink Sweat$,At My Worst,6230
2021-07-01 15:24,Khalid,Better,280
2021-07-01 15:29,KSI,Patience (feat. YUNGBLUD & Polo G),181720
2021-07-01 15:33,KSI,Holiday,193733
2021-07-01 15:36,Tedi Pagg,Tu Hi Das De,172831
2021-07-01 15:39,AP Dhillon,Insane,160784
2021-07-03 05:56,The Kid LAROI,WITHOUT YOU,26485
2021-07-04 10:31,A.R. Rahman,Kun Faya Kun,1256
2021-07-04 10:31,Lucidious,Make It Out Alive (Interlude),5734
2021-07-04 10:31,Imagine Dragons,Bad Liar,1113
2021-07-04 10:31,Fly By Midnight,Love Me Like a Friend,1808
2021-07-04 10:31,The Chainsmokers,This Feeling (feat. Kelsea Ballerini) - Afrojack & Disto Remix,1719
2021-07-04 10:31,The Chainsmokers,Young,224773
2021-07-04 10:31,Avicii,"Tough Love (feat. Agnes, Vargas & Lagola)",282
2021-07-04 10:34,Avicii,Freak (feat. Bonn),132838
2021-07-04 10:36,Avicii,Freak (feat. Bonn),834
2021-07-04 10:40,The Chainsmokers,Something Just Like This,247626
2021-07-04 10:41,Kygo,Happy Now,2877
2021-07-04 10:41,Sam Smith,How Do You Sleep?,0
2021-07-04 10:41,T.I.,That's All She Wrote,270
2021-07-04 10:41,Avicii,Wake Me Up,12
2021-07-04 10:41,The Lumineers,Sleep On The Floor,1024
2021-07-04 10:41,Krishna Beura,Mera Intkam Dekhegi,0
2021-07-04 10:41,Jon Bellion,Stupid Deep,644
2021-07-04 10:41,Jon Bellion,Stupid Deep,0
2021-07-04 10:42,NEFFEX,Life,1574
2021-07-04 10:42,Sam Smith,How Do You Sleep?,57036
2021-07-04 10:42,Imagine Dragons,Natural,1915
2021-07-04 10:42,NF,Paralyzed,0
2021-07-04 10:42,The Weeknd,Often,726
2021-07-04 10:42,Krishna Beura,Mera Intkam Dekhegi,1412
2021-07-04 10:42,NEFFEX,Fight Back,375
2021-07-04 10:42,Roxen Band,Hum Jee Lenge - Rock Version,871
2021-07-04 10:42,Arjun Kanungo,Woh Baarishein,490
2021-07-04 10:46,The Local Train,Aaftaab,233471
2021-07-04 10:50,NEFFEX,Badass,504
2021-07-04 10:50,Motion Blur,They're Just Ghosts,106
2021-07-04 10:50,Wiz Khalifa,Go Hard or Go Home,2218
2021-07-04 10:50,Anuv Jain,Baarishein,207309
