,genre,artist,track,popularity,danceability,
146,R&B,Beyoncé,Flawless Remix,69,0.639,
162,R&B,Miguel,Remember Me (Dúo),66,0.612,
183,R&B,The Weeknd,Attention,67,0.671,
205,R&B,Nao,If You Ever (feat. 6LACK),65,0.488,
243,R&B,Beyoncé,Dance for You,66,0.616,
254,R&B,Mario,Drowning,66,0.516,
272,R&B,Chris Brown,Grass Ain't Greener,67,0.644,
671,Alternative,Joji,Sanctuary,83,0.552,
673,Alternative,Joji,YEAH RIGHT,76,0.672,
681,Alternative,Oliver Tree,Hurt,71,0.561,
686,Alternative,Joji,TEST DRIVE,72,0.646,
1126,Alternative,X Ambassadors,Unsteady,74,0.389,
1154,Alternative,Jhene Aiko,Sativa,70,0.741,
1161,Alternative,KALEO,Way Down We Go,73,0.489,
1184,Alternative,The Neighbourhood,Daddy Issues,71,0.588,
1211,Alternative,Mac Ayres,Easy,69,0.722,
1213,Alternative,Dominic Fike,Açaí Bowl,65,0.687,
1232,Alternative,Hinder,Lips Of An Angel,68,0.476,
1245,Alternative,Joji,R.I.P. (feat. Trippie Redd),65,0.716,
1271,Alternative,Cautious Clay,Cold War,65,0.654,
1309,Alternative,6LACK,Seasons (feat. Khalid),67,0.605,
1313,Alternative,The Black Keys,Howlin' For You,65,0.705,
1349,Alternative,Red Hot Chili Peppers,Dark Necessities,70,0.7,
1401,Alternative,GoldLink,"U Say (feat. Tyler, The Creator & Jay Prince)",66,0.694,
1408,Alternative,The Neighbourhood,Afraid,65,0.464,
1412,Alternative,The Raconteurs,"Steady, As She Goes",67,0.524,
1416,Alternative,6LACK,Switch,67,0.664,
1490,Alternative,Passion Pit,Take a Walk,65,0.566,
1548,Alternative,Foo Fighters,Everlong - Acoustic Version,68,0.643,
1664,Alternative,Mahalia,I Wish I Missed My Ex,66,0.68,
1777,Alternative,Welshly Arms,Legendary,68,0.537,
2711,Alternative,Noname,"Shadow Man (feat. Phoelix, Smino & Saba)",59,0.611,
2876,Alternative,Alanis Morissette,Ironic - 2015 Remaster,68,0.408,
3538,Alternative,Natalia Lafourcade,Hasta la Raíz,67,0.585,
4774,Alternative,León Larregui,Brillas,70,0.625,
6243,Alternative,Zoé,Azul,65,0.516,
6377,Alternative,La Mosca Tse-Tse,Para No Verte Más,66,0.658,
6801,Alternative,Rammstein,HALLOMANN,67,0.419,
9052,Dance,benny blanco,Roses (with Juice WRLD feat. Brendon Urie),83,0.613,
9091,Dance,Ariana Grande,Side To Side,84,0.65,
9092,Dance,Halsey,Without Me (with Juice WRLD),80,0.742,
9100,Dance,Lennon Stella,La Di Da,81,0.689,
13592,Dance,DJ Khaled,No Brainer,84,0.552,
13597,Dance,Alec Benjamin,Water Fountain,75,0.723,
13628,Dance,Alessia Cara,Scars To Your Beautiful,75,0.573,
13634,Dance,Miguel,Sure Thing,74,0.684,
13635,Dance,Mario,Let Me Love You,80,0.656,
13643,Dance,James Arthur,Rewrite The Stars (with James Arthur & Anne-Marie),83,0.67,
13662,Dance,Rihanna,Take A Bow,79,0.697,
13664,Dance,Lady Gaga,Music To My Eyes,78,0.625,
13666,Dance,Meghan Trainor,Like I'm Gonna Lose You,79,0.63,
13678,Dance,Camila Cabello,Real Friends,79,0.701,
13700,Dance,Clean Bandit,Solo (feat. Demi Lovato),87,0.737,
13709,Dance,Ruel,Younger,78,0.745,
13711,Dance,OneRepublic,Counting Stars,74,0.664,
13717,Dance,James Arthur,Can I Be Him,79,0.696,
13728,Dance,Harry Styles,Sign of the Times,79,0.516,
13732,Dance,Rihanna,Bitch Better Have My Money,77,0.778,
13777,Dance,Nelly,Dilemma,78,0.725,
13783,Dance,David Guetta,2U,69,0.542,
13815,Dance,Flume,Never Be Like You (feat. Kai),69,0.444,
13836,Dance,Charlie Puth,One Call Away,69,0.667,
13896,Dance,Avicii,Hey Brother,78,0.537,
13904,Dance,Beyoncé,Drunk in Love,74,0.589,
13906,Dance,Rick Springfield,Jessie's Girl,70,0.727,
13912,Dance,Niall Horan,Too Much To Ask,78,0.509,
13962,Dance,Major Lazer,Cold Water,71,0.602,
13969,Dance,Bebe Rexha,Bad Bitch (feat. Ty Dolla $ign),70,0.656,
13988,Dance,Ashanti,Foolish,73,0.477,
14014,Dance,Taylor Swift,Wildest Dreams,65,0.553,
14020,Dance,Luis Fonsi,Despacito,69,0.665,
14021,Dance,Selena Gomez,The Heart Wants What It Wants,73,0.616,
14030,Dance,Jeremih,Planez,72,0.65,
14047,Dance,OneRepublic,Secrets,75,0.515,
14050,Dance,Niykee Heaton,Bad Intentions,72,0.743,
14054,Dance,Camila Cabello,OMG,72,0.655,
14079,Dance,James TW,Say Love,78,0.752,
14082,Dance,Nick Jonas,Close,72,0.653,
14085,Dance,Cheat Codes,No Promises (feat. Demi Lovato),68,0.739,
14133,Dance,Lana Del Rey,Lust For Life (with The Weeknd),71,0.504,
14140,Dance,Noah Cyrus,Team,69,0.663,
14141,Dance,JP Cooper,September Song,77,0.614,
14157,Dance,Ariana Grande,Thinking Bout You,70,0.507,
14161,Dance,Lady Gaga,Before I Cry,71,0.48,
14189,Dance,Jason Derulo,Whatcha Say,66,0.615,
14199,Dance,P!nk,Beautiful Trauma,73,0.412,
14230,Dance,Trey Songz,Solid,70,0.574,
14256,Dance,Jess Glynne,All I Am,77,0.74,
14258,Dance,The Chainsmokers,All We Know,72,0.662,
14279,Dance,Mariah Carey,Fantasy,67,0.671,
14295,Dance,Carly Rae Jepsen,Now That I Found You,70,0.611,
14309,Dance,Miguel,Banana Clip,67,0.638,
14310,Dance,Lana Del Rey,Cherry,69,0.449,
14363,Dance,Nicki Minaj,Feeling Myself,66,0.564,
14366,Dance,Lana Del Rey,High By The Beach,68,0.536,
14381,Dance,Ying Yang Twins,Get Low,72,0.521,
14386,Dance,Christina Perri,human,71,0.439,
14452,Dance,Ariana Grande,Bad Decisions,67,0.698,
14457,Dance,Janelle Monáe,I Like That,67,0.482,
14460,Dance,Calvin Harris,One Kiss (with Dua Lipa) - Oliver Heldens Remix,74,0.717,
14472,Dance,Kehlani,In My Feelings,65,0.556,
14485,Dance,Kid Ink,Show Me (feat. Chris Brown),71,0.711,
14512,Dance,Jess Glynne,123,71,0.707,
14515,Dance,Lady Gaga,Applause,68,0.669,
14518,Dance,Bazzi,Sober,64,0.534,
14521,Dance,Why Don't We,These Girls,67,0.71,
14525,Dance,Andy Grammer,Keep Your Head Up,66,0.674,
14546,Dance,Sia,Unstoppable,65,0.468,
14563,Dance,Harry Styles,Woman,66,0.624,
14575,Dance,Bruno Mars,Straight Up & Down,68,0.552,
14577,Dance,Beyoncé,Flawless Remix,68,0.639,
14589,Dance,Miguel,Remember Me (Dúo),66,0.612,
14600,Dance,Melanie Martinez,Pacify Her,66,0.576,
14601,Dance,Wet,11 Hours - Branchez Remix,67,0.687,
14609,Dance,Halsey,Hold Me Down,66,0.677,
14611,Dance,Troye Sivan,The Good Side,68,0.426,
14622,Dance,Harry Styles,Ever Since New York,66,0.389,
14628,Dance,Lana Del Rey,Brooklyn Baby,66,0.404,
14648,Dance,Tinashe,2 On (feat. ScHoolboy Q),69,0.742,
14654,Dance,Liam Payne,Bedroom Floor,70,0.597,
14656,Dance,David Bowie,Rebel Rebel - 2016 Remastered Version,73,0.635,
14671,Dance,Lauv,Paranoid,67,0.701,
14684,Dance,Lana Del Rey,In My Feelings,65,0.54,
14692,Dance,Passion Pit,Take a Walk,68,0.566,
14700,Dance,The Raconteurs,"Steady, As She Goes",65,0.524,
14706,Dance,Beyoncé,Dance for You,66,0.616,
14713,Dance,Lana Del Rey,White Mustang,66,0.658,
14736,Dance,Chris Brown,Grass Ain't Greener,67,0.644,
14782,Dance,OneRepublic,Good Life,69,0.636,
14805,Dance,Katy Perry,Rise,66,0.546,
14812,Dance,Passion Pit,Sleepyhead,66,0.568,
14826,Dance,The Police,Every Little Thing She Does Is Magic - Remastered 2003,65,0.535,
14839,Dance,Kim Petras,Heart to Break,66,0.74,
14874,Dance,Katy Perry,Wide Awake,67,0.514,
14885,Dance,Omarion,Post to Be (feat. Chris Brown & Jhene Aiko),70,0.733,
14897,Dance,Pitbull,Feel This Moment,67,0.673,
14933,Dance,will.i.am,Scream & Shout,72,0.772,
14947,Dance,Rihanna,You Da One,67,0.702,
14987,Dance,Meghan Trainor,FOOLISH,68,0.645,
14995,Dance,Martin Jensen,Nobody,71,0.673,
15007,Dance,Olivia O'Brien,I Don't Exist,66,0.743,
15031,Dance,Cheat Codes,Feeling of Falling,69,0.744,
15035,Dance,VÉRITÉ,Somebody Else,67,0.674,
15038,Dance,Galantis,San Francisco (with Sofia Carson),69,0.741,
15064,Dance,Halsey,Drive,64,0.571,
15089,Dance,Mike Perry,Hands,71,0.719,
15130,Dance,Greyson Chance,Low,66,0.476,
15136,Dance,Usher,Love in This Club (feat. Young Jeezy),66,0.573,
15160,Dance,Selena Gomez,Back To You - Joey Pecoraro Remix,67,0.685,
15221,Dance,Nelly Furtado,I'm Like A Bird,71,0.616,
15229,Dance,Don Diablo,Take Her Place (feat. A R I Z O N A),68,0.603,
15355,Dance,Beyoncé,Dangerously In Love,60,0.609,
15380,Dance,Justin Bieber,Never Say Never,67,0.739,
15398,Dance,David Guetta,Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,68,0.678,
15416,Dance,Mario,Drowning,66,0.516,
15461,Dance,Justin Timberlake,Until The End Of Time (with Beyoncé),58,0.56,
15496,Dance,Destiny's Child,Cater 2 U,63,0.605,
15525,Dance,Shawn Mendes,Lights On,66,0.706,
15687,Dance,Ellie Goulding,"Still Falling For You - From ""Bridget Jones's Baby""",68,0.43,
15689,Dance,Shawn Mendes,No Promises,66,0.619,
15738,Dance,Calvin Harris,Promises (with Sam Smith) - David Guetta Remix,68,0.588,
15757,Dance,Avicii,Broken Arrows,66,0.63,
15887,Dance,Christina Aguilera,Fall In Line,66,0.39,
15989,Dance,Avril Lavigne,I Fell In Love With The Devil,66,0.522,
16101,Dance,Dua Lipa,Genesis,67,0.715,
16108,Dance,Rihanna,Russian Roulette,66,0.48,
16170,Dance,Astrid S,Closer,68,0.531,
16180,Dance,Sasha Sloan,I’ll Be There,56,0.516,
16220,Dance,Lady Gaga,Your Song,61,0.486,
16325,Dance,10cc,I'm Not In Love,70,0.401,
16456,Dance,Kehlani,Everything Is Yours,56,0.608,
16660,Dance,Zara Larsson,Ruin My Life - Piano Version,67,0.65,
16666,Dance,Robin Schulz,OK,66,0.653,
16772,Dance,Galantis,Hunter,65,0.47,
16920,Dance,Vicetone,Fences,66,0.698,
17214,Dance,Alesso,Cool,63,0.537,
17405,Dance,Robin Schulz,Headlights (feat. Ilsey),65,0.597,
17448,Dance,Zara Larsson,I Would Like,65,0.486,
17466,Dance,Vigiland,Strangers,68,0.718,
17539,Dance,Astrid S,Emotion,70,0.402,
17568,Dance,Shakira,Inevitable,67,0.595,
17656,Dance,Lisa Stansfield,The Real Thing - Remastered,66,0.698,
17791,Dance,Lou Reed,Perfect Day,67,0.4,
18098,Dance,R3HAB,Wrong Move,67,0.722,
18234,Dance,John De Sohn,Hum With Me,67,0.653,
18241,Dance,Blonde,All Cried Out (feat. Alex Newell) - Radio Edit,65,0.657,
18488,Dance,Sonic Youth,Superstar,58,0.372,
18876,Dance,Cher,Welcome To Burlesque - Burlesque Original Motion Picture Soundtrack,46,0.666,
18996,Dance,JP Cooper,Closer,62,0.513,
19282,Dance,Kate Bush,Wuthering Heights,67,0.481,
19476,Dance,Timmy Trumpet,Oracle,67,0.689,
20454,Dance,Jack & Jack,Flights,50,0.601,
22174,Electronic,Daft Punk,One More Time,74,0.611,
22192,Electronic,Just A Gent,Limelight (NGHTMRE Remix),66,0.574,
22198,Electronic,Massive Attack,Teardrop,70,0.615,
22222,Electronic,DROELOE,Sunburn,65,0.693,
22464,Electronic,Vigiland,Strangers,68,0.718,
22595,Electronic,The Acid,Basic Instinct,46,0.737,
22814,Electronic,Kasabian,Fire,66,0.525,
23543,Electronic,Lucky Luke,F.E.E.L.,58,0.893,
40500,Folk,Hozier,Take Me to Church,76,0.566,
40513,Folk,Edward Sharpe & The Magnetic Zeros,Home,74,0.542,
40516,Folk,Hozier,No Plan,67,0.456,
40517,Folk,Vampire Weekend,Harmony Hall,76,0.653,
40528,Folk,Hozier,"Wasteland, Baby!",65,0.427,
40530,Folk,Hozier,Talk,65,0.397,
40541,Folk,Blanco White,Olalla,74,0.572,
40543,Folk,Dermot Kennedy,Lost,73,0.578,
40549,Folk,Bon Iver,Holocene,71,0.375,
40559,Folk,Amber Run,I Found,72,0.389,
40563,Folk,The Lumineers,Stubborn Love,66,0.598,
40572,Folk,Lord Huron,The Night We Met (feat. Phoebe Bridgers),74,0.424,
40576,Folk,Gregory Alan Isakov,Chemicals,71,0.608,
40583,Folk,James Taylor,Carolina in My Mind,67,0.579,
40586,Folk,Ben Howard,Only Love,74,0.545,
40608,Folk,Ben Howard,Old Pine,72,0.401,
40610,Folk,Phillip Phillips,"Gone, Gone, Gone",68,0.662,
40625,Folk,Vance Joy,Like Gold,68,0.477,
