,artist,track,acousticness,energy,popularity,favorite,prediction
290,Zé Neto & Cristiano,Status Que Eu Não Queria - Ao Vivo,0.59,0.871,74,0,1
3223,BAUM,This Body,0.126,0.5770000000000001,30,0,1
5177,Eddie Berman,You Can Call Me Al,0.8440000000000001,0.316,39,0,1
6050,Cryptic Wisdom,Last Stand,0.472,0.605,43,0,1
6247,Kim Sung Kyu,True Love,0.121,0.584,39,0,1
7803,SMLE,2 Me (feat. Kiddo Ai & Nick Smith),0.591,0.484,46,0,1
7902,Jack & Jack,Beg - Prince Fox Remix,0.306,0.497,33,0,1
10014,$tupid Young,Murder Scene (feat. Lil Durk),0.465,0.563,30,0,1
10852,Magnifico ,Vulnerable,0.332,0.581,26,0,1
11391,Rels B,Buenos Genes,0.486,0.535,74,0,1
11497,B00TY,Modern Romance,0.372,0.487,32,0,1
11637,Rostam,Bike Dream - Recorded at Spotify Studios NYC,0.7759999999999999,0.308,40,0,1
13452,SWIZZY,Yours,0.285,0.526,35,0,1
13868,Capo Plaza,Tesla (feat. Sfera Ebbasta & DrefGold),0.316,0.626,71,0,1
15549,JBJ,As If In A Dream,0.583,0.639,30,0,1
16029,Cazzu,C14TORCE,0.355,0.6559999999999999,53,0,1
16298,Mora,Que Habilidad,0.3279999999999999,0.452,57,0,1
16910,Son Lux,Slowly,0.4029999999999999,0.315,40,0,1
17449,Joe Hicks,Rest Your Head,0.1889999999999999,0.613,24,0,1
17563,K.C. Hunt,Keep It Private,0.561,0.3829999999999999,38,0,1
18963,Tedua,Vertigini,0.1639999999999999,0.774,71,0,1
19112,Gemitaiz,Davide (feat. Coez),0.136,0.63,71,0,1
19297,TWINKIDS,Jigoku Tengoku,0.132,0.5720000000000001,32,0,1
20643,OSHUN,Solar Plexus,0.118,0.471,47,0,1
21534,Demun Jones,Shoot a Bird,0.0255,0.657,31,0,1
21736,B.O.,Sunday In My Bedroom (Remix),0.6970000000000001,0.385,27,0,1
21865,Saudin,Lo Siento,0.547,0.381,28,0,1
24256,Pop Pongkool,ภาพจำ,0.426,0.585,58,0,1
24571,toe,Commit Ballad feat. Chara_Mitsu the Beats Remix,0.4589999999999999,0.4629999999999999,38,0,1
24626,Ocean Alley,Knees,0.0524,0.594,66,0,1
25281,Saintseneca,The Wandering Star,0.114,0.653,32,0,1
27042,Pineapple StormTv,Buzz Lightyear,0.432,0.532,67,0,1
27088,Paul Cherry,This High,0.8009999999999999,0.359,36,0,1
27389,Chris Brown,Yo (Excuse Me Miss),0.119,0.612,42,0,1
27830,Cro,Computiful - Carlifornia RMX,0.7559999999999999,0.611,46,0,1
28048,Vallie Pressey,Hot Soldier,0.4379999999999999,0.358,31,0,1
28287,ISLAND,Try,0.331,0.669,42,0,1
29846,Spectre Jones,Sturdy,0.526,0.461,29,0,1
30230,Omar Chaparro,Me Haces Tanto Bien,0.427,0.389,38,0,1
30695,Kallitechnis,body&soul,0.132,0.422,31,0,1
31325,Yung Tory,Be Honest,0.442,0.414,31,0,1
32138,Craig David,Talk to Me,0.0262,0.626,33,0,1
33310,Los Del Arroyo,Ponchito De La Lima - En Vivo,0.682,0.5429999999999999,29,0,1
35253,Matt Johnson,I Will Survive - Acoustic,0.848,0.241,41,0,1
37495,Terrell Morris,Oak,0.718,0.432,24,0,1
37869,King Co,Rose` Rendezvous,0.253,0.565,30,0,1
37981,James Quick,Bored in College,0.623,0.421,40,0,1
38081,The Hackensaw Boys,Oval Room,0.392,0.45,30,0,1
38356,Mary Chapin Carpenter,Heroes and Heroines,0.643,0.298,22,0,1
38488,Andie Case,Tell Me You Love Me,0.728,0.276,25,0,1
39517,Neutro Shorty,Lento,0.359,0.6559999999999999,40,0,1
43303,I-Octane,Unfair Games,0.3229999999999999,0.6509999999999999,41,0,1
44376,Hadrian,Vienes y Te Vas,0.412,0.606,27,0,1
45557,Megan Davies,Too Good at Goodbyes,0.7609999999999999,0.31,28,0,1
46188,PU$$EIDXN,Southern Exposure,0.653,0.45,25,0,1
46214,Michael Barr,Black Jeep,0.18,0.478,21,0,1
46813,Trash Panda,Speak Slow,0.1889999999999999,0.525,26,0,1
51858,Adera,Serpihan Hati,0.373,0.35,56,0,1
54912,Los Freddy's,Disimula,0.7140000000000001,0.445,25,0,1
55219,AMBKOR,Vida rota,0.809,0.476,40,0,1
56468,Abner Official,Bendito Amor,0.367,0.4479999999999999,21,0,1
56819,Meron Addis,Listen (feat. Eli),0.349,0.441,31,0,1
57996,Doobie Scoo and the Vampire Slayers,Drunk and Confused,0.0869,0.5760000000000001,29,0,1
58146,Destiny's Child,Emotion,0.162,0.55,24,0,1
58289,Cam the Artisan,Bliss,0.6709999999999999,0.41,42,0,1
60035,Akira The Don,Be Precise in Your Speech,0.196,0.593,27,0,1
60053,Ebenezer,Nostalgia,0.426,0.605,21,0,1
60649,João Bosco & Vinicius,Aceito Sua Decisão / Pois É - Deluxe,0.828,0.352,35,0,1
61804,Ultimo,Poesia senza veli,0.752,0.519,71,0,1
61966,Gavlyn,Thankful,0.138,0.534,29,0,1
67375,Sneakk,Strictly Only Brothers,0.163,0.3989999999999999,25,0,1
68148,Kenny Khoo,如果我是你,0.799,0.578,28,0,1
69765,Ocean Wisdom,Life,0.474,0.649,41,0,1
72761,Elmo Magalona,Be My Fairy Tale,0.721,0.331,27,0,1
72842,Twin Wild,Fears - Acoustic,0.501,0.645,31,0,1
73661,13 Block,Vide,0.505,0.682,53,0,1
74172,DePedro,Que Te Vaya Bonito,0.321,0.372,33,0,1
75965,William Elliott Whitmore,Diggin' my Grave,0.773,0.519,33,0,1
77297,Vegas Jones,Lisha (Su E Giù),0.299,0.6409999999999999,35,0,1
78208,Animus,Der stärkste Mensch,0.295,0.674,48,0,1
80801,Sofia Ellar,Serenatas Baratas,0.4579999999999999,0.447,45,0,1
81742,Ella Fitzgerald,I Got Plenty O' Nuttin',0.49,0.431,26,0,1
84313,Matthew Young,Fix Me Up,0.0833,0.564,25,0,1
85282,Marvin,Lost Feelings,0.4479999999999999,0.4579999999999999,23,0,1
86401,Nakala,Paris - Sonn Remix,0.0571,0.672,29,0,1
87611,YMR NIG,Yari,0.304,0.6679999999999999,30,0,1
88498,Banfi,Never Really Cared,0.15,0.597,33,0,1
88611,Nfx,Ying,0.462,0.659,28,0,1
89578,Fourtwnty,"Zona Nyaman (From ""Filosofi Kopi 2: Ben & Jody"")",0.355,0.649,66,0,1
89818,John Holt,True Believer in Love,0.0703,0.598,24,0,1
92300,Alan Walker,All Falls Down,0.253,0.672,73,0,1
92580,DrefQuila,A fuego,0.3379999999999999,0.352,71,0,1
92663,Amir,Longtemps,0.6829999999999999,0.456,67,0,1
94449,Los Duros Record,Estamos Bien Bad,0.387,0.531,44,0,1
94529,TRESOR,Aphrodite,0.727,0.525,43,0,1
94751,The Ballroom Thieves,Lost in the Light,0.25,0.351,58,0,1
95142,Tom Walker,Fade Away,0.825,0.267,56,0,1
95228,H.E.R.,Could've Been (Remix) (feat. Tone Stith),0.598,0.356,52,0,1
95351,Silvestre Dangond,Vivir Bailando,0.104,0.848,76,0,1
95468,Cavetown,Self Control,0.494,0.251,53,0,1
95900,Dennis DJ,Agora é Tudo Meu,0.7,0.933,83,0,1
96060,Kontra K,Warnung,0.0453,0.79,74,0,1
96115,Sam Smith,Dancing With A Stranger (With Normani) - Cheat Codes Remix,0.103,0.557,72,0,1
96121,Tyla Yaweh,High Right Now,0.0116,0.557,72,0,1
96142,Alan Walker,All Falls Down (feat. Juliander),0.253,0.672,73,0,1
96596,Fuego,Sigo Fresh,0.477,0.562,71,0,1
96669,Angèle,Tout oublier,0.493,0.542,78,0,1
